"no";"tipo";"de_para";"resumo";"data"
"2349";"TEL";"Washington ( E )-AFEPA";"Assuntos       parlamentares.  Câmara     dos     Deputados.  Acidente   do  vôo  Gol 1907.  Cartas a   deputados   norte-  americanos.";2012-11-02
"23";"TEL";"Washington ( E )-AFEPA";"Brasil-EUA. Acidente com o  voo  Gol 1907. Reunião com  parlamentares.  Missão aos  EUA. Comentários.";2012-01-13
"2169";"TEL";"Washington ( E )-AFEPA";"Relações Federativas. Goiás. Promoção  comercial e investimentos.  Relato.";2012-10-05
"484";"DET";"AFEPA-AFEPA";"Assuntos parlamentares. Rio  Grande do Sul. COP-5.  Paticipação de Deputados.  Publicação no Jornal Zero  Hora\".  \"";2012-11-05
"745";"TEL";"Washington ( E )-C";"Visita         presidencial a  Washington.           Agenda.  Confirmação  de  horários  de  eventos (9/4).";2012-04-03
"690";"TEL";"Washington ( E )-C";"Brasil-EUA. Visita  Presidencial. Contratados  locais. Manifestação pública.";2012-03-30
"743";"TEL";"Washington ( E )-C";"Visita    Presidencial    aos  EUA.Movimento             dos  funcionários  locais.Convocação          de  manifestação    em   frente à  U.S.Chamber.  U.S.Chamber.   Nr. 00743";2012-04-03
"747";"TEL";"Washington ( E )-C";"Visita Presidencial aos EUA.  Movimento dos funcionários  locais. Convocação";2012-04-04
"262";"TEL";"Nova York ( D )-CGFOME";"Cooperação Humanitária.  Brasil-Líbia. Apoio a projeto  de desminagem.";2012-01-31
"152";"TEL";"Washington ( CG)-COR";"Administração. Pessoal.  Processo administrativo  disciplinar.  Pedido de férias.";2012-03-07
"498";"TEL";"Washington ( E )-DACESS";"Procedimentos     aduaneiros.  Informação   sobre o  serviço  aduaneiro norte-americano.";2012-03-08
"792";"DET";"DACESS-DACESS";"Política comercial.  Brasil-EUA. Global Supply  Chain\". Proposta de declaração  conjunta. Reunião de  coordenação.  \"";2012-05-23
"652";"TEL";"Pequim ( E )-DNS";"Brasil-China. Vale. Restrições  à entrada de meganavios. Pauta  do encontro da Sra PR com o PM  chinês.";2012-05-23
"1451";"TEL";"Washington ( E )-CGC";"Agricultura.  EUA. Farm Bill.  Aprovação no Senado. Gestões.  Relato.";2012-06-27
"1464";"TEL";"Washington ( E )-CGC";"Agricultura.  EUA. Farm Bill.  Aprovação no Senado. Gestões.  Relato.";2012-06-28
"333";"DET";"CGC-CGC";"OMC. Contenciosos. Zeroing\".  SGEF. Inclusão de tema na  agenda.  \"";2012-03-08
"115";"DET";"CORG-CORG";"OMC. Rodada Doha. Reunião  trilateral com os EUA e UE.  Bruxelas (07/3/2012). Convite  ao Brasil. Autorização.";2012-03-05
"579";"TEL";"Pequim ( E )-DI";"Brasil-China. BRICS. Segurança  e governança da internet.  Reunião com o Gabinete de  Informação do Conselho de  Estado. Proposta. Relato.";2012-05-10
"207";"TEL";"Washington ( E )-DCF";"Política Comercial. Serviços  Bancários.  Foreign  Account  Tax  Compliance Act (FATCA).  Contato  com  Presidente  da  Febraban.";2012-02-02
"315";"TEL";"Washington ( E )-DCF";"Brasil-EUA.  Foreign Accouint  Tax  Compliance  Act (FATCA).  Nova        proposta       de  regulamentação.   Adesão   de  países europeus. Comentários.";2012-02-15
"424";"TEL";"Washington ( E )-DCF";"Brasil-EUA.  Foreign  Account  Tax  Compliance  Act (FATCA).  Encontro  com Departamento do  Tesouro e      especialistas.  Relato.";2012-02-24
"68";"TEL";"Washington ( E )-DPB";"Agricultura. Brasil-EUA. Suco  de   laranja.   Presença   de  fungicida    não   autorizado  (carbendazim).   Matéria   de  imprensa.";2012-01-12
"72";"DET";"CGC-CGC";"OMC. Contenciosos. Zeroing\".  Acordos entre EUA, UE e Japão.  Impacto sobre o contencioso do  suco de laranja (DS382).  Pedido de gestões.  \"";2012-02-13
"105";"DET";"CGC-CGC";"OMC. Contenciosos. Zeroing\".  Acordos entre EUA, UE e Japão.  Impacto sobre os demais  contenciosos em curso na OMC.  Pedido de informações.  \"";2012-02-29
"569";"TEL";"Pequim ( E )-CMOR";"Administração. Adidâncias  agrícolas. Avaliação.  Encaminhamento.";2012-05-04
"1209";"TEL";"Washington ( E )-CMOR";"Administração.      Adidância  Agrícola. Avaliação. Aspectos  Administrativos.";2012-05-25
"13";"TEL";"Georgetown ( E )-DCA";"Telegrama anulado pelo CONTROLE DE SÉRIE (DCA) em: 08/02/2012 13:51";2012-02-08
"140";"TEL";"Washington ( CG)-DSE";"Administração. Pessoal.  Oficiais de Chancelaria.  Promoção. Primeiro semestre de  2012. Avaliação.";2012-02-29
"21";"telegrama";"Embaixada em  WASHINGTON";"EUA-PANAMA. CENTRO MULTINACIONAL  ANTIDROGAS. NEGOCIACOES.";1998-01-07
"29";"despacho telegráfico";"Embaixada em  WASHINGTON";"ADMINISTRACAO. PESSOAL. INCI-  DENTE DE TRANSITO.";1998-01-12
"44";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. DROGAS  ILEGAIS E CRIMES CONEXOS. CONGRESSO DOS EUA. CONVERSA COM ALTO  FUNCIONARIO DO SENADO.";1998-01-12
"32";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. CONVERSA COM A  SECRETARIA DE ESTADO.";1998-01-14
"29";"telegrama";"Embaixada em  WASHINGTON";"ADMINISTRACAO. PESSOAL. PRIVILEGIOS  E IMUNIDADES. CONSULADO EM
ATLANTA.  INCIDENTE DE TRANSITO.";1998-01-16
"36";"telegrama";"Embaixada em  WASHINGTON";"ADMINISTRACAO. PESSOAL. PRIVILEGIOS  E IMUNIDADES. CONSULADO-GERAL
EM  ATLANTA. INCIDENTE DE TRANSITO.";1998-01-16
"78";"telegrama";"Embaixada em  WASHINGTON";"CUPULA DAS AMERICAS. OEA/CICAD.  DROGAS ILEGAIS E CRIMES CONEXOS.";1998-01-16
"50";"despacho telegráfico";"Embaixada em  WASHINGTON";"VISITA DO SENHOR MINISTRO DE  ESTADO. DATAS.";1998-01-20
"79";"despacho telegráfico";"Embaixada em  WASHINGTON";"ADMINISTRACAO.PESSOAL.PRIVILE-  GIOS E IMUNIDADES.";1998-01-27
"136";"telegrama";"Embaixada em  WASHINGTON";"EUA. G-7/G-8. MUDANCA DE ''SHERPA''.";1998-01-27
"91";"despacho telegráfico";"Embaixada em  WASHINGTON";"G/7. MUDANCA DO SHERPA  AMERICANO.";1998-01-28
"145";"telegrama";"Embaixada em  WASHINGTON";"AMERICA LATINA-ESTADOS UNIDOS.  DROGAS ILEGAIS E CRIMES CONEXOS.
NOVAS REALIDADE E ABORDAGEM. POSICAO  BRASILEIRA.";1998-01-28
"146";"telegrama";"Embaixada em  WASHINGTON";"ESTADOS UNIDOS-PARAGUAI. VISITA DE  LAINO E SITUACAO INTERNA.";1998-01-28
"106";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. VISITA DO SENHOR  MINISTRO DE ESTADO. AGENDA.";1998-01-30
"156";"telegrama";"Embaixada em  WASHINGTON";"ADMINISTRACAO. PESSOAL. PRIVILEGIOS  E IMUNIDADES.  INCIDENTE DE  TRANSITO.";1998-01-30
"155";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. VISITA DO SENHOR  MINISTRO DE ESTADO. DATAS. AGENDA.";1998-01-30
"160";"telegrama";"Embaixada em  WASHINGTON";"EUA. POLITICA EXTERNA. IRAQUE.  PEDIDO AMERICANO DE APOIO BRASILEIRO
NA ONU.";1998-01-31
"178";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. DROGAS  ILEGAIS E CRIMES CONEXOS. VISITA DO
GENERAL MCCAFFREY.";1998-02-03
"171";"telegrama";"Embaixada em  WASHINGTON";"CUPULA DAS AMERICAS. DROGAS ILEGAIS  E CRIMES CONEXOS. REUNIAO COM O
EMBAIXADOR BROWN.";1998-02-03
"177";"telegrama";"Embaixada em  WASHINGTON";"ONU. BRASIL-EUA. IRAQUE. PONDERACOES  SOBRE A ATUACAO DO BRASIL.";1998-02-03
"43";"telegrama";"Consulado em  BOSTON";"DEPORTACAO. CIDADA BRASILEIRA. FALSIFICACAO  DE DOCUMENTOS BRASILEIROS  E  NORTE-  AMERICANOS.";1998-02-04
"34";"despacho telegráfico";"Consulado em  SÃO FRANCISCO";"SINDICANCIA.";1998-02-05
"202";"telegrama";"Embaixada em  WASHINGTON";"PRIVILEGIOS E IMUNIDADES.  BRASIL-EUA. REGIME DE COMPRA E VENDA  DE
AUTOMOVEIS. CONTENCIOSO  BILATERAL.";1998-02-05
"95";"despacho telegráfico";"Consulado em  MIAMI";"PRIVILEGIOS E IMUNIDADES. BRA-  SIL-EUA. REGIME DE COMPRA E  VENDA DE AUTOMOVEIS. CONTENCIO  SO BILATERAL. RETRANSMISSAO.";1998-02-06
